timestamp;cycle;product_id;product_index;current_price;previous_price;change_amount;change_percentage;change_status;significance;url
2026-01-11 21:19:05;1;df62733c67;11;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 21:19:09;1;9f3abdcd96;12;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 21:19:13;1;f7c8e84536;13;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:24:33;2;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 21:24:36;2;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:24:41;2;09d338d669;3;157.0;157.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-1782169085/
2026-01-11 21:24:44;2;d676009471;4;95.0;95.0;;;no_change;;https://www.ozon.ru/product/vpityvayushchaya-igrushka-osminog-dlya-kupaniya-rebenka-2972852955/
2026-01-11 21:24:48;2;83b926005d;5;229.0;229.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-medved-zheltyy-823735886/
2026-01-11 21:24:52;2;502136570c;6;18052.0;18052.0;;;no_change;;https://www.ozon.ru/product/xiaomi-planshet-redmi-pad-2-wifi-bez-sim-11-8-gb-256-gb-temno-seryy-2235200745/
2026-01-11 21:24:56;2;07805bea2a;7;9396.0;9396.0;;;no_change;;https://www.ozon.ru/product/keenetic-router-sprinter-kn-3711-1716072512/
2026-01-11 21:25:00;2;d427c235e3;8;24020.0;24020.0;;;no_change;;https://www.ozon.ru/product/videodomofon-dlya-kvartiry-s-wifi-tantos-neo-hd-se-tuya-black-komplekt-s-zapisyu-3002146675/
2026-01-11 21:25:04;2;acacce754f;9;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 21:25:14;2;df62733c67;11;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 21:25:17;2;9f3abdcd96;12;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 21:25:20;2;f7c8e84536;13;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:30:36;3;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 21:30:40;3;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:30:44;3;09d338d669;3;157.0;157.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-1782169085/
2026-01-11 21:30:47;3;d676009471;4;95.0;95.0;;;no_change;;https://www.ozon.ru/product/vpityvayushchaya-igrushka-osminog-dlya-kupaniya-rebenka-2972852955/
2026-01-11 21:30:50;3;83b926005d;5;229.0;229.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-medved-zheltyy-823735886/
2026-01-11 21:30:52;3;502136570c;6;18052.0;18052.0;;;no_change;;https://www.ozon.ru/product/xiaomi-planshet-redmi-pad-2-wifi-bez-sim-11-8-gb-256-gb-temno-seryy-2235200745/
2026-01-11 21:30:56;3;07805bea2a;7;9396.0;9396.0;;;no_change;;https://www.ozon.ru/product/keenetic-router-sprinter-kn-3711-1716072512/
2026-01-11 21:30:59;3;d427c235e3;8;24020.0;24020.0;;;no_change;;https://www.ozon.ru/product/videodomofon-dlya-kvartiry-s-wifi-tantos-neo-hd-se-tuya-black-komplekt-s-zapisyu-3002146675/
2026-01-11 21:31:02;3;acacce754f;9;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 21:31:11;3;df62733c67;11;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 21:31:15;3;9f3abdcd96;12;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 21:31:18;3;f7c8e84536;13;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:36:33;4;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 21:36:36;4;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:36:39;4;09d338d669;3;157.0;157.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-1782169085/
2026-01-11 21:36:44;4;d676009471;4;95.0;95.0;;;no_change;;https://www.ozon.ru/product/vpityvayushchaya-igrushka-osminog-dlya-kupaniya-rebenka-2972852955/
2026-01-11 21:36:49;4;83b926005d;5;229.0;229.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-medved-zheltyy-823735886/
2026-01-11 21:36:52;4;502136570c;6;18052.0;18052.0;;;no_change;;https://www.ozon.ru/product/xiaomi-planshet-redmi-pad-2-wifi-bez-sim-11-8-gb-256-gb-temno-seryy-2235200745/
2026-01-11 21:36:57;4;07805bea2a;7;9396.0;9396.0;;;no_change;;https://www.ozon.ru/product/keenetic-router-sprinter-kn-3711-1716072512/
2026-01-11 21:37:02;4;d427c235e3;8;24020.0;24020.0;;;no_change;;https://www.ozon.ru/product/videodomofon-dlya-kvartiry-s-wifi-tantos-neo-hd-se-tuya-black-komplekt-s-zapisyu-3002146675/
2026-01-11 21:37:07;4;acacce754f;9;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 21:37:14;4;df62733c67;11;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 21:37:17;4;9f3abdcd96;12;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 21:37:22;4;f7c8e84536;13;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:42:37;5;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 21:42:41;5;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:42:45;5;09d338d669;3;157.0;157.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-1782169085/
2026-01-11 21:42:49;5;d676009471;4;95.0;95.0;;;no_change;;https://www.ozon.ru/product/vpityvayushchaya-igrushka-osminog-dlya-kupaniya-rebenka-2972852955/
2026-01-11 21:42:51;5;83b926005d;5;229.0;229.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-medved-zheltyy-823735886/
2026-01-11 21:42:54;5;502136570c;6;18052.0;18052.0;;;no_change;;https://www.ozon.ru/product/xiaomi-planshet-redmi-pad-2-wifi-bez-sim-11-8-gb-256-gb-temno-seryy-2235200745/
2026-01-11 21:42:57;5;07805bea2a;7;9396.0;9396.0;;;no_change;;https://www.ozon.ru/product/keenetic-router-sprinter-kn-3711-1716072512/
2026-01-11 21:43:01;5;d427c235e3;8;24020.0;24020.0;;;no_change;;https://www.ozon.ru/product/videodomofon-dlya-kvartiry-s-wifi-tantos-neo-hd-se-tuya-black-komplekt-s-zapisyu-3002146675/
2026-01-11 21:43:03;5;acacce754f;9;237.0;237.0;;;no_change;;https://www.ozon.ru/product/sportivnyy-massazhnyy-myach-649666577/
2026-01-11 21:43:09;5;df62733c67;11;18583.0;18583.0;;;no_change;;https://www.ozon.ru/product/komplekt-videodomofona-tantos-prime-hd-mirror-s-zapisyu-dlya-kvartiry-i-chastnogo-doma-2883135660/
2026-01-11 21:43:13;5;9f3abdcd96;12;780.0;780.0;;;no_change;;https://www.ozon.ru/product/domofon-dlya-kvartiry-trubka-domofona-dlya-kvartiry-rexant-804929708/
2026-01-11 21:43:16;5;f7c8e84536;13;543.0;543.0;;;no_change;;https://www.ozon.ru/product/futbolka-interesnaya-futbolka-s-izobrazheniem-kosmonavta-i-koshki-2080842787/
2026-01-11 21:48:31;6;6b6a0f1660;1;728.0;728.0;;;no_change;;https://www.ozon.ru/product/kostyum-sportivnyy-2214535916/
2026-01-11 21:48:36;6;b2400111aa;2;761.0;761.0;;;no_change;;https://www.ozon.ru/product/komplekt-odezhdy-2361803914/
2026-01-11 21:48:40;6;09d338d669;3;157.0;157.0;;;no_change;;https://www.ozon.ru/product/snezhkolep-1782169085/
